node_id,timestamp,voc_mv,co_mv,pm1_0,pm2_5,pm10,temperature,humidity,label_index,label
node_01,1780739209,2259.0,2880.0,15.0,29.0,30.0,25.9,67.2,2,vehicle_exhaust
node_01,1780739210,2265.0,2883.0,15.0,29.0,29.0,25.9,67.2,2,vehicle_exhaust
node_01,1780739211,2263.0,2882.0,15.0,29.0,29.0,25.9,67.2,2,vehicle_exhaust
node_01,1780739212,2273.0,2882.0,15.0,29.0,29.0,25.9,67.1,2,vehicle_exhaust
node_01,1780739213,2259.0,2883.0,16.0,29.0,29.0,25.9,67.1,2,vehicle_exhaust
node_01,1780739215,2264.0,2880.0,16.0,29.0,29.0,25.9,67.1,2,vehicle_exhaust
node_01,1780739216,2261.0,2883.0,15.0,29.0,29.0,25.9,67.3,2,vehicle_exhaust
node_01,1780739217,2266.0,2882.0,15.0,28.0,29.0,25.9,67.3,2,vehicle_exhaust
node_01,1780739218,2261.0,2882.0,15.0,28.0,29.0,25.9,67.3,2,vehicle_exhaust
node_01,1780739219,2274.0,2879.0,14.0,27.0,28.0,25.9,67.3,2,vehicle_exhaust
node_01,1780739220,2262.0,2880.0,14.0,27.0,28.0,25.9,67.3,2,vehicle_exhaust
node_01,1780739221,2264.0,2881.0,14.0,28.0,28.0,25.9,67.3,2,vehicle_exhaust
node_01,1780739222,2259.0,2881.0,14.0,28.0,28.0,25.8,67.4,2,vehicle_exhaust
node_01,1780739223,2265.0,2880.0,14.0,28.0,29.0,25.8,67.4,2,vehicle_exhaust
node_01,1780739224,2262.0,2883.0,14.0,28.0,29.0,25.8,67.4,2,vehicle_exhaust
node_01,1780739225,2271.0,2879.0,14.0,28.0,29.0,25.9,67.4,2,vehicle_exhaust
node_01,1780739226,2261.0,2882.0,14.0,28.0,29.0,25.9,67.4,2,vehicle_exhaust
node_01,1780739227,2268.0,2882.0,13.0,28.0,29.0,25.9,67.4,2,vehicle_exhaust
node_01,1780739228,2260.0,2884.0,14.0,29.0,30.0,25.8,67.3,2,vehicle_exhaust
node_01,1780739229,2266.0,2880.0,14.0,29.0,30.0,25.8,67.3,2,vehicle_exhaust
node_01,1780739230,2261.0,2882.0,14.0,29.0,30.0,25.8,67.3,2,vehicle_exhaust
node_01,1780739231,2271.0,2880.0,14.0,29.0,30.0,25.8,67.1,2,vehicle_exhaust
node_01,1780739232,2259.0,2881.0,14.0,29.0,30.0,25.8,67.1,2,vehicle_exhaust
node_01,1780739233,2267.0,2882.0,14.0,29.0,30.0,25.8,67.1,2,vehicle_exhaust
node_01,1780739234,2260.0,2879.0,14.0,29.0,30.0,25.8,67.3,2,vehicle_exhaust
node_01,1780739235,2267.0,2881.0,14.0,29.0,30.0,25.8,67.3,2,vehicle_exhaust
node_01,1780739236,2258.0,2882.0,13.0,27.0,28.0,25.8,67.3,2,vehicle_exhaust
node_01,1780739238,2269.0,2883.0,13.0,27.0,28.0,25.8,67.4,2,vehicle_exhaust
node_01,1780739239,2260.0,2880.0,13.0,27.0,28.0,25.8,67.4,2,vehicle_exhaust
node_01,1780739240,2264.0,2880.0,14.0,28.0,29.0,25.8,67.4,2,vehicle_exhaust
node_01,1780739241,2262.0,2880.0,14.0,28.0,29.0,25.8,67.5,2,vehicle_exhaust
node_01,1780739242,2263.0,2881.0,14.0,29.0,29.0,25.8,67.5,2,vehicle_exhaust
