voc_mv,co_mv,pm1_0,pm2_5,pm10,temperature,humidity,label_index,label
2146.0,2739.0,0.0,0.0,0.0,24.3,64.5,0,normal_air
2141.0,2738.0,0.0,0.0,0.0,24.3,64.6,0,normal_air
2165.0,2765.0,0.0,0.0,0.0,24.4,64.6,0,normal_air
2146.0,2740.0,0.0,0.0,0.0,24.4,64.6,0,normal_air
2166.0,2764.0,0.0,0.0,0.0,24.4,64.5,0,normal_air
2150.0,2743.0,0.0,0.0,0.0,24.6,64.6,0,normal_air
2149.0,2741.0,0.0,0.0,0.0,24.6,64.5,0,normal_air
2150.0,2741.0,0.0,0.0,0.0,24.7,64.4,0,normal_air
2151.0,2743.0,0.0,0.0,0.0,24.6,64.6,0,normal_air
2169.0,2768.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2167.0,2768.0,0.0,0.0,0.0,24.6,64.5,0,normal_air
2169.0,2766.0,0.0,0.0,0.0,24.6,64.5,0,normal_air
2169.0,2768.0,0.0,0.0,0.0,24.6,64.5,0,normal_air
2149.0,2743.0,0.0,0.0,0.0,24.6,64.4,0,normal_air
2150.0,2742.0,0.0,0.0,0.0,24.7,64.4,0,normal_air
2150.0,2740.0,0.0,0.0,0.0,24.6,64.4,0,normal_air
2150.0,2742.0,0.0,0.0,0.0,24.7,64.4,0,normal_air
2162.0,2740.0,0.0,0.0,0.0,24.7,64.4,0,normal_air
2153.0,2740.0,0.0,0.0,0.0,24.7,64.4,0,normal_air
2147.0,2741.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2153.0,2740.0,0.0,0.0,0.0,24.7,64.4,0,normal_air
2148.0,2739.0,0.0,0.0,0.0,24.7,64.4,0,normal_air
2155.0,2742.0,0.0,0.0,0.0,24.7,64.4,0,normal_air
2159.0,2740.0,0.0,0.0,0.0,24.6,64.5,0,normal_air
2148.0,2741.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2154.0,2739.0,0.0,0.0,0.0,24.7,64.4,0,normal_air
2147.0,2742.0,0.0,0.0,0.0,24.7,64.4,0,normal_air
2148.0,2742.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2151.0,2740.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2148.0,2741.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2160.0,2738.0,0.0,0.0,0.0,24.7,64.7,0,normal_air
2145.0,2740.0,0.0,0.0,0.0,24.7,64.6,0,normal_air
2146.0,2739.0,0.0,0.0,0.0,24.7,64.6,0,normal_air
2146.0,2741.0,0.0,0.0,0.0,24.7,64.6,0,normal_air
2145.0,2741.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2151.0,2740.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2147.0,2738.0,0.0,0.0,0.0,24.7,64.6,0,normal_air
2160.0,2743.0,0.0,0.0,0.0,24.7,64.6,0,normal_air
2147.0,2742.0,0.0,0.0,0.0,24.7,64.7,0,normal_air
2146.0,2743.0,0.0,0.0,0.0,24.7,64.7,0,normal_air
2154.0,2740.0,0.0,0.0,0.0,24.8,64.5,0,normal_air
2145.0,2740.0,0.0,0.0,0.0,24.8,64.6,0,normal_air
2149.0,2738.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2147.0,2741.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2148.0,2742.0,0.0,0.0,0.0,24.7,64.4,0,normal_air
2146.0,2742.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2145.0,2739.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2153.0,2741.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2144.0,2738.0,0.0,0.0,0.0,24.7,64.4,0,normal_air
2153.0,2741.0,0.0,0.0,0.0,24.7,64.6,0,normal_air
2146.0,2738.0,0.0,0.0,0.0,24.8,64.5,0,normal_air
2147.0,2740.0,0.0,0.0,0.0,24.7,64.6,0,normal_air
2158.0,2737.0,0.0,0.0,0.0,24.7,64.7,0,normal_air
2145.0,2741.0,0.0,0.0,0.0,24.8,64.5,0,normal_air
2154.0,2740.0,0.0,0.0,0.0,24.7,64.5,0,normal_air
2154.0,2741.0,0.0,0.0,0.0,24.7,64.7,0,normal_air
2145.0,2740.0,0.0,0.0,0.0,24.7,64.6,0,normal_air
2160.0,2741.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2144.0,2741.0,0.0,0.0,0.0,24.7,64.8,0,normal_air
2160.0,2740.0,0.0,0.0,0.0,24.8,64.8,0,normal_air
2150.0,2737.0,0.0,0.0,0.0,24.8,64.8,0,normal_air
2149.0,2738.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2153.0,2741.0,0.0,0.0,0.0,24.8,64.6,0,normal_air
2146.0,2741.0,0.0,0.0,0.0,24.7,64.7,0,normal_air
2150.0,2737.0,0.0,0.0,0.0,24.8,64.6,0,normal_air
2145.0,2740.0,0.0,0.0,0.0,24.7,64.7,0,normal_air
2159.0,2739.0,0.0,0.0,0.0,24.7,64.7,0,normal_air
2152.0,2740.0,0.0,0.0,0.0,24.7,64.7,0,normal_air
2145.0,2741.0,0.0,0.0,0.0,24.8,64.6,0,normal_air
2152.0,2739.0,0.0,0.0,0.0,24.8,64.6,0,normal_air
2144.0,2740.0,0.0,0.0,0.0,24.7,64.6,0,normal_air
2150.0,2739.0,0.0,0.0,0.0,24.8,64.8,0,normal_air
2159.0,2737.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2159.0,2739.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2150.0,2742.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2145.0,2740.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2144.0,2741.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2145.0,2737.0,0.0,0.0,0.0,24.8,64.6,0,normal_air
2144.0,2737.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2161.0,2740.0,0.0,0.0,0.0,24.8,64.8,0,normal_air
2146.0,2740.0,0.0,0.0,0.0,24.8,64.8,0,normal_air
2150.0,2737.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2146.0,2739.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2142.0,2739.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2153.0,2740.0,0.0,0.0,0.0,24.8,64.7,0,normal_air
2144.0,2742.0,0.0,0.0,0.0,24.8,64.8,0,normal_air
2159.0,2737.0,0.0,0.0,0.0,24.8,64.8,0,normal_air
2145.0,2741.0,0.0,0.0,0.0,24.8,65.0,0,normal_air
2147.0,2739.0,0.0,0.0,0.0,24.8,65.0,0,normal_air
2145.0,2740.0,0.0,0.0,0.0,24.8,64.9,0,normal_air
2144.0,2739.0,0.0,0.0,0.0,24.8,64.9,0,normal_air
2151.0,2740.0,0.0,0.0,0.0,24.8,64.9,0,normal_air
2144.0,2741.0,0.0,0.0,0.0,24.8,65.0,0,normal_air
2160.0,2740.0,0.0,0.0,0.0,24.8,64.9,0,normal_air
2146.0,2741.0,0.0,0.0,0.0,24.8,64.9,0,normal_air
2148.0,2741.0,0.0,0.0,0.0,24.8,64.9,0,normal_air
2149.0,2741.0,0.0,0.0,0.0,24.8,64.9,0,normal_air
2145.0,2741.0,0.0,0.0,0.0,24.8,64.9,0,normal_air
